# name ra/[rad] dec/[rad] z
MGC+JS42RHS 3.203 -0.921 0.244
MGC+JGI9TGB 1.083 1.384 1.853
MGC+J2E2OZX 1.995 -0.712 0.539
MGC+JK0B5LV 3.98 -0.97 0.829
MGC+JLLGQUF 1.083 1.292 1.747
MGC+JSAEO90 4.557 1.565 0.644
MGC+JYZ1SV5 2.017 1.434 1.445
MGC+JQL96LK 0.469 1.425 1.537
MGC+JZA86K3 0.038 0.494 0.122
MGC+JRW2LZJ 2.377 0.6 0.875
MGC+JGFEIHL 5.203 0.744 0.577
MGC+JBK076V 4.12 -1.114 0.564
MGC+JVK6U6E 1.618 1.162 1.914
MGC+JVP6SIP 2.674 1.321 0.79
MGC+JBNWURM 3.399 0.736 1.414
MGC+J48F5SJ 0.247 0.149 1.977
MGC+JF4Z69L 0.82 -1.498 0.167
MGC+JHH537I 4.256 1.564 0.356
MGC+JYO0FYB 5.367 0.085 1.985
MGC+JEZXK9R 4.64 -0.517 1.724
MGC+JI4OAXK 1.888 1.255 1.214
MGC+J0H9R2S 0.671 0.469 0.868
MGC+JCEYYW3 3.391 0.335 1.492
MGC+JZAVNJR 6.112 0.178 0.098
MGC+J2ZZQTW 2.464 0.587 1.181
MGC+JIM5BWV 2.867 0.926 1.886
MGC+J5JY5UI 5.569 1.472 0.897
MGC+JPN4X34 0.033 -0.537 0.923
MGC+J0MCOFU 2.77 1.039 0.308
MGC+JXN2XSA 5.628 0.257 0.518
MGC+JOWS3TU 4.598 1.52 0.929
MGC+JFAT1OS 5.424 1.084 0.194
MGC+JTNEMMF 2.555 -1.265 0.889
MGC+JMRVDFE 3.846 -0.932 0.298
MGC+JUEQ436 1.592 -0.88 1.235
MGC+JO10GTO 4.233 -0.906 1.594
MGC+JRN9S5O 3.11 1.288 1.207
MGC+JK91P8K 2.75 -0.604 1.313
MGC+JELKO1C 4.161 -1.411 0.279
MGC+JLSBORR 3.437 1.368 0.265
MGC+JLRCV25 3.505 1.176 0.352
MGC+JZ07WA1 3.31 -0.892 0.334
MGC+JPONE79 1.071 1.446 1.894
MGC+J0ZLYXA 1.442 0.137 0.608
MGC+JJMIJMP 3.613 0.209 1.285
MGC+JQJFAL8 4.479 -0.761 0.318
MGC+JRF2R1R 0.418 -0.241 1.044
MGC+JKQ6S1P 0.378 -0.495 0.414
MGC+JF8BLKZ 5.549 -1.36 0.575
MGC+JFE39JY 5.702 0.894 0.92
MGC+J70JVFL 1.663 -0.655 0.166
MGC+JT0H2WJ 2.748 -0.138 1.008
MGC+JVVCZTE 3.955 0.412 1.839
MGC+JNYW172 2.28 0.24 0.728
MGC+JERGB0D 3.119 -0.913 1.008
MGC+J9NE6Z3 3.218 0.45 1.97
MGC+JGJVXOZ 6.193 -0.683 0.81
MGC+JN39DCM 2.993 0.675 1.003
MGC+J22NBBQ 4.268 0.695 1.777
MGC+JC1V8VM 5.619 0.479 0.747
MGC+JUN8XQ1 4.685 -0.267 0.077
MGC+J2A422V 0.475 -0.59 0.338
MGC+JHT6QU6 0.228 0.013 0.327
MGC+JD384QG 4.267 1.556 0.83
MGC+JDT2ZZ8 5.22 1.354 0.347
MGC+J8N5NRO 1.138 0.172 0.855
MGC+JKJPGAR 5.459 -0.869 0.204
MGC+JAVUJX3 3.385 -0.335 1.464
MGC+JENTZAY 6.24 1.158 1.714
MGC+JD0BANL 2.916 0.19 0.895
MGC+J3S61I8 5.806 -0.631 0.667
MGC+JYRDAGO 2.196 -1.285 1.823
MGC+J1K4I7U 0.023 -1.016 0.561
MGC+J37AQQ0 0.524 -0.115 1.337
MGC+JQ42I0C 5.734 1.225 0.092
MGC+JQ6FY8G 1.677 -0.88 0.727
MGC+JT7NXJ3 4.104 0.665 0.581
MGC+JCLOQ5U 1.026 0.867 1.139
MGC+JRQLUA0 6.227 -0.091 1.47
MGC+JG72BEB 3.954 1.032 1.905
MGC+JTIH206 5.386 0.156 1.565
MGC+JH2PKN6 0.18 -1.092 1.88
MGC+JEU5RLX 5.954 0.052 0.936
MGC+JZK0H2S 4.201 -0.165 0.602
MGC+JL2G0DT 4.348 0.551 1.333
MGC+JXV4CLU 5.158 -1.054 1.522
MGC+J73I3MB 3.646 -0.832 1.288
MGC+J2BTR2Y 5.265 0.953 0.384
MGC+JASXYK1 2.423 1.077 0.215
MGC+JBWDRQT 5.705 -1.368 0.057
MGC+JXC15YJ 0.959 -1.206 1.021
MGC+JXEMPYV 1.401 -0.364 1.936
MGC+J3VQ4U2 5.849 0.263 0.938
MGC+JCZY0I5 6.087 0.719 1.664
MGC+JXM9X8Q 5.305 0.136 1.189
MGC+J91R9CU 3.072 -1.325 1.407
MGC+JZ6ELB2 4.517 0.949 0.679
MGC+JWMBP6A 3.785 0.343 1.603
MGC+J5W6JGC 5.64 -0.227 1.861
MGC+JKV61CX 0.121 -0.279 0.897
MGC+JGK4O19 2.932 0.429 1.146
MGC+JT0WHWL 2.723 1.125 1.937
MGC+JXTHTI0 6.207 -0.171 1.958
MGC+JXYHR3E 3.587 0.706 1.105
MGC+JNFH50G 3.762 -0.919 0.565
MGC+J75MSCB 1.202 0.4 0.332
MGC+J2M8ZEC 0.275 0.403 1.122
MGC+JMYJXXJ 2.728 1.316 0.27
MGC+J2VWPV7 6.016 -1.36 0.65
MGC+JC8DOYG 1.346 0.526 0.401
MGC+JSARHCT 4.706 1.505 0.721
MGC+J27IYAZ 3.194 0.801 1.201
MGC+JYZRC0B 5.574 -0.45 0.935
MGC+JAZ4XYH 5.925 -0.982 1.789
MGC+JDEEXYD 2.622 -0.726 0.436
MGC+JL4O1JP 0.351 1.144 1.795
MGC+JA9GGRE 2.416 1.488 1.747
MGC+JSICKDO 3.61 0.597 0.999
MGC+J5DE53W 1.768 1.521 1.778
MGC+JR3RLGS 5.68 0.142 0.791
MGC+JGS5HZS 2.543 -0.969 0.797
MGC+JI423VK 3.726 1.28 1.954
MGC+J9XA4WY 1.937 -0.899 1.883
MGC+JYVBRCV 1.056 1.43 0.184
MGC+J374SHJ 2.55 -1.195 1.702
MGC+JOF4ODZ 1.462 0.963 0.385
MGC+JM2LYX1 5.302 -1.275 0.619
MGC+J5BTP0I 6.022 -0.029 1.9
MGC+JEYTF62 5.607 -0.96 1.186
MGC+JGHJE9R 4.751 0.069 0.889
MGC+JC1BMBF 4.536 0.627 1.097
MGC+JL9Z1CX 2.535 0.181 1.994
MGC+J6TK1O5 1.955 0.62 0.629
MGC+J1USHDI 0.671 -1.57 1.274
MGC+J2KCB11 5.165 1.448 1.043
MGC+JJ2XVAN 5.91 -0.169 1.377
MGC+J1DLXY2 1.147 0.841 0.075
MGC+JKQ75N8 3.769 0.687 1.623
MGC+J4IWMRK 3.391 1.485 1.934
MGC+JITLOMY 1.408 0.598 0.071
MGC+JZVJKJP 4.229 1.037 1.619
MGC+JWU774V 3.993 -0.97 0.804
MGC+JQ1POJE 4.638 0.608 1.738
MGC+JWGAY0W 0.621 0.048 0.196
MGC+JDYS5Z4 4.909 0.668 1.579
MGC+JZYODQ2 0.862 0.123 0.66
MGC+JHHK2AW 3.246 1.348 0.265
MGC+J9LR6DC 3.201 -0.544 1.524
MGC+JX9HFBZ 1.391 -1.393 0.283
MGC+JJ9EBPR 6.251 -1.373 1.028
MGC+JRLV61T 2.904 0.22 0.177
MGC+JYA75HV 3.489 -0.804 0.241
MGC+J3Z27L4 3.095 1.105 0.139
MGC+J253OXU 2.592 0.534 1.976
MGC+J07PCIH 2.706 -0.922 1.514
MGC+J7GQTZZ 5.064 -0.273 0.947
MGC+JKDUJ69 3.936 -0.162 1.227
MGC+J1ADP63 0.74 -0.046 1.667
MGC+JZ9CO02 1.997 1.036 0.334
MGC+JW1BF6G 0.101 -1.529 1.134
MGC+J9RU1WS 3.916 0.036 0.755
MGC+JCNYSM8 3.412 -0.113 1.115
MGC+J7Q1K24 5.336 -0.944 1.991
MGC+JQHZ3H4 1.438 0.783 0.313
MGC+JHB7DVG 1.17 -0.909 0.176
MGC+JTH8ADB 3.258 -0.142 0.407
MGC+J8KEVKZ 5.421 -0.966 1.351
MGC+JXKXFTQ 2.361 -1.482 0.396
MGC+JUI94D1 2.947 -0.431 0.224
MGC+JA5UX2A 3.592 1.413 0.116
MGC+JKAAKJO 0.335 0.948 0.445
MGC+J44AP3M 5.557 -0.69 1.792
MGC+J3GK2XZ 1.948 0.087 1.092
MGC+JJPDQD1 2.269 -1.339 1.327
MGC+JK3DNR9 4.131 0.431 1.76
MGC+JUQHYRL 3.621 0.658 1.923
MGC+J583IUZ 4.525 0.352 0.067
MGC+JH17J0L 0.724 1.276 0.433
MGC+JSZ6KML 2.48 0.478 1.158
MGC+JVOFJ96 5.206 1.09 1.936
MGC+J862C7A 0.053 1.391 0.214
MGC+JVBSVQ0 0.873 1.496 0.164
MGC+JEAZM8C 0.064 0.525 1.484
MGC+J7D30T9 4.799 -1.23 0.855
MGC+J27XT29 1.872 0.696 1.942
MGC+JGHJ3J1 3.211 -1.416 0.581
MGC+J8339JD 0.693 -1.172 0.907
MGC+J6MO0GZ 3.917 0.362 1.626
MGC+JE3CLW2 3.558 -0.781 0.934
MGC+JUHTG9V 2.862 0.081 0.818
MGC+JP3DADF 1.589 0.366 1.149
MGC+JAVVXX4 1.472 1.402 1.664
MGC+JETCPLN 5.213 -1.06 1.181
MGC+JYWHNOY 1.674 -0.401 0.041
MGC+JLMSBIL 0.817 -1.355 1.096
MGC+JE0M79R 3.528 -1.242 1.837
MGC+J4KVVP0 4.73 0.461 0.081
MGC+J83I85T 3.878 1.543 0.587
MGC+J53J9IJ 5.361 -1.047 0.947
MGC+JKYJKPM 4.121 0.481 1.819
MGC+J54J24S 1.352 -0.91 0.897
MGC+JNXPHYC 1.51 1.398 0.778
MGC+JIFVVWN 4.681 1.23 0.733
MGC+JQJX91W 4.705 -0.494 1.248
MGC+J4ILN7U 0.185 0.895 1.581
MGC+JPB6V08 3.561 -0.864 1.518
MGC+J856CWQ 6.253 0.861 1.194
MGC+J9LQ7W2 3.479 0.767 1.758
MGC+JWJU629 3.406 1.419 1.389
MGC+J7CBY25 0.789 0.202 0.356
MGC+JA2B0L3 1.432 -0.269 0.224
MGC+J14TZ70 4.743 1.377 1.224
MGC+JVRKOLB 2.572 -0.779 0.964
MGC+J5KVALB 3.004 1.286 0.373
MGC+JVZOXYD 0.697 0.538 0.855
MGC+JOLW9H0 1.489 0.642 0.687
MGC+JJFL1KU 6.203 -0.013 0.416
MGC+JS46B4U 3.61 1.569 0.721
MGC+JOQP70H 2.932 -0.249 0.118
MGC+JQ4I8B1 0.255 0.942 0.105
MGC+JPDTWP7 1.356 0.378 1.301
MGC+JHUQY0X 3.767 0.674 0.378
MGC+JRW2P6W 0.362 0.433 0.23
MGC+JC3LE2B 5.913 0.14 1.403
MGC+JSKH39Y 4.166 0.502 0.726
MGC+JWCNBQK 4.764 -1.557 1.614
MGC+JPEQTHR 4.756 1.141 0.375
MGC+JI8YN3A 1.656 0.895 1.979
MGC+JJ6HUOW 6.055 -1.159 1.7
MGC+J0S4VZB 3.068 -0.262 0.156
MGC+JKV9R8I 5.194 -0.191 1.046
MGC+J2YVTH2 0.082 0.024 1.102
MGC+JZ303S1 4.862 -1.406 0.855
MGC+J2DG22T 1.993 -1.219 1.807
MGC+J50L97L 1.22 -0.247 1.089
MGC+JLW13GX 3.752 0.465 1.419
MGC+JL9N7AG 2.768 0.175 1.241
MGC+JRRKCX4 3.338 -0.559 1.927
MGC+JHLG3RB 5.625 1.413 0.069
MGC+JL8YFCI 5.014 -0.058 0.613
MGC+JMYJ1LT 4.899 -1.065 0.624
MGC+JKYHZ99 4.44 -1.534 0.08
MGC+J9OFM8Y 1.222 0.739 0.765
MGC+JXCA04H 1.039 1.259 0.389
MGC+JP2LRY8 1.528 1.398 1.694
MGC+JVE6DE3 0.644 0.844 1.372
MGC+J8YCUF0 4.935 1.419 0.571
MGC+J6AG5Q6 4.876 0.138 0.333
MGC+J4QZQ3I 5.066 1.561 0.56
MGC+J9OWL1P 4.302 -1.292 0.923
MGC+JGC392G 1.49 0.469 1.822
MGC+J93ZXUI 0.464 -0.937 0.593
MGC+JVZ31P4 5.69 0.121 0.468
MGC+JGJT7E7 1.437 1.075 0.697
MGC+JE4QO4C 0.653 -0.187 0.338
MGC+JN305NW 1.738 -0.814 0.348
MGC+JVF5P4M 0.394 -1.361 1.947
MGC+JW5HREG 0.049 0.587 1.572
MGC+JGI7EE3 3.752 -1.539 0.747
MGC+J1UWQRH 5.684 1.06 1.428
MGC+JUXLVVU 4.355 -0.482 0.535
MGC+JXRI8M5 5.762 1.485 1.38
MGC+JFYMU3Y 3.754 0.05 1.225
MGC+JV10YUO 3.385 -1.333 1.585
MGC+JUSYUKM 2.189 0.719 0.61
MGC+JHX3WMB 5.534 0.093 0.805
MGC+JWIEQ9I 1.628 -1.42 1.927
MGC+JCEFQ1Q 2.469 1.239 0.521
MGC+JABMJ6T 0.706 0.883 1.929
MGC+JP27AHR 1.217 -0.342 0.056
MGC+JF1BXW8 1.244 0.767 0.237
MGC+JNXQURP 0.205 -0.877 1.798
MGC+J7BT65A 5.033 -0.235 0.326
MGC+J8YSZZR 4.961 0.621 0.006
MGC+J0ZHXST 1.372 -0.896 0.156
MGC+JULAANG 6.185 1.373 0.043
MGC+JDQWTZH 3.882 0.631 1.561
MGC+JA57Q9P 2.778 -1.298 1.387
MGC+JCMSY9U 2.906 1.199 0.137
MGC+J58EUWU 1.111 0.333 1.715
MGC+JXWM8WE 2.744 0.241 0.087
MGC+JHI7SOR 6.214 0.981 1.676
MGC+JK6JSJB 3.107 0.845 1.819
MGC+J1AU6EW 0.55 1.173 0.2
MGC+JL8VKPB 3.44 -1.149 0.658
MGC+JIETSCA 3.522 0.507 0.706
MGC+JK1V321 6.143 -0.522 1.057
MGC+J9MS5ZB 3.03 -0.037 0.229
MGC+JOSQO8R 2.079 0.005 1.906
MGC+JEG84EZ 4.978 0.794 1.101
MGC+J1Y6M4O 3.289 0.439 0.026
MGC+JUFQYH4 2.367 -0.036 0.587
MGC+J14LWRL 1.205 -0.883 1.716
MGC+JA25BCB 2.222 0.008 1.751
MGC+JYMWW7B 3.319 0.705 0.144
MGC+J53C4YP 2.931 0.701 0.471
MGC+J280EQM 4.262 1.148 0.854
MGC+J304E2C 4.77 -0.638 1.935
MGC+JBMZIYY 3.599 0.204 1.829
MGC+JZB6B2D 6.098 -1.151 0.665
MGC+JIDEJI9 4.675 -0.272 0.737
MGC+JKRMZ7P 1.592 0.155 1.258
MGC+J2FSKSF 0.996 0.786 1.014
MGC+J6761T8 5.949 -0.392 1.82
MGC+JN3QYPC 3.597 -0.899 0.387
MGC+JGYY5KF 0.484 -0.999 0.052
MGC+JAF5WE1 5.956 -1.137 0.926
MGC+JFI609T 5.999 -0.338 0.416
MGC+JY5SX32 3.975 0.224 0.303
MGC+J9SHSNH 1.457 0.147 0.887
MGC+J4N4T2I 1.329 1.344 0.522
MGC+JNMIME6 4.332 -0.076 0.043
MGC+JBIGMRN 1.419 -1.031 1.474
MGC+JTG6E1M 5.024 -1.562 0.496
MGC+J39GYYR 2.683 -1.251 1.732
MGC+JL1Q2RI 1.093 -0.013 0.642
MGC+JXTI9RI 3.879 1.211 0.638
MGC+JTZRMXA 0.048 -0.917 1.729
MGC+JO5Y6NO 6.213 -1.525 0.137
MGC+JIVKCVG 1.539 -0.978 0.046
MGC+JXWAXKV 5.339 -0.405 0.675
MGC+JUTIZ8T 2.158 0.635 1.933
MGC+JLUJD2U 6.065 0.466 1.87
MGC+JVM38AB 4.575 0.215 0.31
MGC+JPR2JKW 5.413 -0.772 1.271
MGC+JUFGUM6 3.783 0.295 0.937
MGC+JIFGN60 4.988 0.837 1.191
MGC+JLWVAKI 1.784 -0.782 0.164
MGC+J3UJLXM 5.662 -0.529 1.32
MGC+J7ICXXX 4.979 0.057 1.976
MGC+JYIGGSM 5.332 0.098 0.563
MGC+JDVUS7E 3.701 -1.023 0.325
MGC+JH4OHE3 2.182 -0.201 0.772
MGC+JYSZUPX 6.212 0.393 0.355
MGC+J1F13TS 1.303 0.134 0.436
MGC+J222QMV 6.203 -1.148 0.156
MGC+JY466PV 4.509 -0.224 1.735
MGC+JRST01T 1.681 0.492 0.203
MGC+J8MT3AF 0.171 1.415 0.731
MGC+J9DDIRT 0.896 -0.561 0.996
MGC+JHOQELV 6.106 -0.204 0.155
MGC+J5NJ1XW 1.647 -1.414 1.143
MGC+J9RQ0IG 1.254 -0.717 0.201
MGC+J4TD7PT 2.912 -0.052 0.231
MGC+J2CNXKV 4.838 1.307 0.244
MGC+JTKBGIV 6.275 0.212 1.597
MGC+J1FJEP8 3.81 -0.795 0.275
MGC+JP9BAQ3 0.519 -1.545 1.874
MGC+JGA89D0 2.06 1.013 1.864
MGC+JWOCT0L 4.041 -0.89 1.561
MGC+JXCHEAD 2.218 -0.753 0.835
MGC+JHFS634 2.344 -0.291 1.125
MGC+JVZVTAT 4.528 0.512 1.501
MGC+J8AXV1R 3.002 -1.536 1.774
MGC+J5X7CLD 5.695 1.408 0.346
MGC+J7UIVTA 2.868 0.1 1.1
MGC+JLKEY79 1.732 1.17 1.144
MGC+JOQIG60 5.616 -0.511 1.176
MGC+J7ACBI1 5.048 0.993 1.987
MGC+J4G5XMZ 1.76 -1.521 0.871
MGC+JV2JN36 1.461 1.235 1.217
MGC+JG0ZCVR 4.932 -1.019 0.854
MGC+J2EIMEE 6.125 -1.424 0.832
MGC+JNKVM6T 4.165 -1.299 0.978
MGC+JV04J7J 5.371 1.268 1.095
MGC+JBTKZD8 0.476 -1.074 0.241
MGC+JD09AJA 1.705 -0.357 0.346
MGC+JDH5NHS 0.36 -0.471 0.078
MGC+JCHUI1Q 4.719 1.373 1.38
MGC+JA45Y4F 1.703 -0.187 1.935
MGC+JTC25SI 3.224 -1.104 1.239
MGC+JY3IPQD 5.514 1.435 0.554
MGC+J324O97 1.869 1.016 1.624
MGC+JS71A6E 2.624 -1.213 1.177
MGC+JYTE8DW 2.791 -0.538 1.984
MGC+JVQEPEE 3.901 -0.062 1.437
MGC+JEWAXS1 0.093 0.387 1.454
MGC+JN7U119 2.375 -1.211 0.226
MGC+J9UEGLC 3.209 0.416 0.378
MGC+J6RJ9HL 1.942 -1.305 0.659
MGC+JY7M2ON 4.763 0.24 0.673
